,0,1,2,3,4,5,6,7,8,9
0,14.0,10.0,17.0,8.0,12.0,12.0,13.0,18.0,15.0,12.0
1,14.0,15.0,16.0,14.0,20.0,17.0,13.0,17.0,13.0,14.0
2,12.0,15.0,18.0,14.0,21.0,15.0,15.0,26.0,17.0,16.0
3,10.0,17.0,16.0,21.0,20.0,19.0,19.0,28.0,16.0,14.0
4,15.0,22.0,18.0,20.0,21.0,20.0,18.0,26.0,16.0,17.0
5,15.0,17.0,18.0,24.0,16.0,18.0,27.0,24.0,17.0,18.0
6,15.0,23.0,20.0,19.0,21.0,19.0,22.0,24.0,18.0,25.0
7,15.0,23.0,18.0,26.0,22.0,21.0,16.0,31.0,17.0,20.0
8,17.0,22.0,20.0,27.0,20.0,20.0,19.0,32.0,21.0,23.0
9,19.0,21.0,22.0,27.0,28.0,25.0,22.0,31.0,22.0,21.0
10,18.0,23.0,22.0,27.0,27.0,25.0,26.0,34.0,20.0,23.0
11,19.0,27.0,25.0,26.0,30.0,24.0,25.0,30.0,23.0,25.0
12,20.0,23.0,27.0,27.0,23.0,20.0,28.0,34.0,24.0,30.0
13,20.0,27.0,26.0,28.0,26.0,23.0,27.0,35.0,22.0,34.0
14,22.0,27.0,28.0,34.0,25.0,25.0,31.0,32.0,22.0,32.0
15,21.0,29.0,29.0,31.0,26.0,25.0,30.0,35.0,28.0,33.0
16,20.0,31.0,28.0,33.0,28.0,27.0,26.0,37.0,30.0,31.0
17,21.0,29.0,33.0,34.0,28.0,28.0,27.0,31.0,26.0,33.0
18,24.0,30.0,29.0,35.0,30.0,27.0,30.0,35.0,25.0,35.0
19,22.0,32.0,30.0,32.0,30.0,29.0,27.0,32.0,31.0,34.0
20,22.0,32.0,37.0,34.0,31.0,30.0,32.0,33.0,28.0,34.0
21,22.0,36.0,35.0,33.0,32.0,33.0,28.0,34.0,30.0,36.0
22,24.0,34.0,35.0,33.0,29.0,30.0,27.0,36.0,31.0,36.0
23,26.0,35.0,37.0,34.0,31.0,28.0,26.0,35.0,30.0,34.0
24,24.0,35.0,37.0,33.0,33.0,32.0,32.0,36.0,32.0,37.0
25,25.0,33.0,36.0,35.0,33.0,32.0,29.0,37.0,35.0,36.0
26,27.0,35.0,37.0,36.0,30.0,30.0,28.0,36.0,28.0,37.0
27,28.0,33.0,36.0,33.0,33.0,37.0,32.0,35.0,31.0,35.0
28,27.0,36.0,37.0,32.0,36.0,38.0,29.0,32.0,38.0,35.0
29,27.0,33.0,38.0,36.0,38.0,40.0,29.0,35.0,34.0,39.0
30,26.0,36.0,36.0,35.0,34.0,37.0,39.0,34.0,35.0,38.0
31,26.0,34.0,36.0,32.0,38.0,37.0,35.0,34.0,35.0,39.0
32,28.0,37.0,38.0,33.0,37.0,39.0,31.0,35.0,34.0,40.0
33,28.0,36.0,38.0,32.0,37.0,38.0,36.0,35.0,32.0,39.0
34,28.0,37.0,36.0,33.0,38.0,37.0,35.0,35.0,37.0,37.0
35,30.0,37.0,37.0,36.0,36.0,38.0,34.0,38.0,37.0,37.0
36,30.0,35.0,37.0,34.0,37.0,40.0,39.0,39.0,35.0,39.0
37,33.0,37.0,38.0,38.0,39.0,41.0,39.0,39.0,40.0,39.0
38,34.0,35.0,37.0,36.0,38.0,38.0,35.0,38.0,37.0,41.0
39,34.0,39.0,39.0,38.0,40.0,41.0,37.0,40.0,39.0,41.0
40,35.0,37.0,38.0,37.0,40.0,40.0,35.0,39.0,38.0,39.0
41,29.0,37.0,39.0,38.0,40.0,42.0,33.0,42.0,37.0,39.0
42,32.0,39.0,40.0,36.0,39.0,39.0,40.0,40.0,40.0,40.0
43,38.0,41.0,41.0,41.0,41.0,43.0,38.0,41.0,37.0,40.0
44,36.0,38.0,41.0,39.0,38.0,40.0,35.0,39.0,40.0,40.0
