,0,1,2,3,4,5,6,7,8,9
0,9.0,16.0,12.0,14.0,13.0,9.0,18.0,19.0,9.0,15.0
1,14.0,15.0,11.0,15.0,15.0,16.0,9.0,17.0,10.0,21.0
2,20.0,10.0,9.0,18.0,18.0,16.0,25.0,16.0,9.0,19.0
3,17.0,15.0,13.0,13.0,14.0,13.0,22.0,17.0,14.0,19.0
4,20.0,16.0,15.0,15.0,17.0,14.0,22.0,14.0,14.0,21.0
5,22.0,18.0,16.0,12.0,19.0,16.0,19.0,20.0,14.0,19.0
6,21.0,17.0,17.0,17.0,16.0,17.0,23.0,21.0,13.0,22.0
7,22.0,15.0,14.0,16.0,19.0,15.0,23.0,22.0,15.0,23.0
8,22.0,15.0,15.0,15.0,17.0,20.0,23.0,22.0,12.0,23.0
9,23.0,18.0,14.0,14.0,20.0,18.0,22.0,22.0,13.0,26.0
10,20.0,20.0,17.0,14.0,24.0,18.0,23.0,23.0,15.0,22.0
11,20.0,16.0,21.0,15.0,24.0,17.0,24.0,22.0,14.0,25.0
12,21.0,20.0,18.0,13.0,27.0,19.0,24.0,24.0,15.0,28.0
13,21.0,19.0,18.0,17.0,28.0,20.0,22.0,22.0,16.0,23.0
14,21.0,19.0,22.0,17.0,27.0,19.0,27.0,25.0,14.0,25.0
15,24.0,19.0,21.0,15.0,24.0,24.0,27.0,22.0,15.0,26.0
16,21.0,19.0,24.0,17.0,30.0,18.0,29.0,21.0,18.0,25.0
17,23.0,22.0,23.0,15.0,31.0,23.0,26.0,24.0,19.0,24.0
18,25.0,20.0,22.0,19.0,31.0,22.0,31.0,23.0,19.0,27.0
19,21.0,25.0,21.0,18.0,29.0,25.0,25.0,24.0,18.0,24.0
20,24.0,26.0,26.0,20.0,30.0,25.0,27.0,24.0,17.0,25.0
21,23.0,23.0,25.0,14.0,30.0,25.0,29.0,24.0,19.0,24.0
22,24.0,24.0,27.0,16.0,28.0,26.0,30.0,27.0,20.0,26.0
23,27.0,28.0,22.0,18.0,31.0,25.0,30.0,25.0,18.0,24.0
24,24.0,21.0,23.0,19.0,28.0,22.0,28.0,29.0,19.0,27.0
25,27.0,24.0,28.0,17.0,31.0,23.0,30.0,29.0,17.0,28.0
26,24.0,26.0,23.0,16.0,32.0,22.0,30.0,26.0,22.0,26.0
27,26.0,24.0,26.0,17.0,30.0,23.0,33.0,28.0,24.0,28.0
28,24.0,27.0,26.0,18.0,31.0,23.0,28.0,26.0,21.0,25.0
29,25.0,25.0,27.0,18.0,33.0,23.0,30.0,27.0,25.0,28.0
30,26.0,25.0,27.0,17.0,31.0,26.0,30.0,29.0,25.0,27.0
31,27.0,26.0,24.0,14.0,32.0,17.0,31.0,27.0,26.0,31.0
32,26.0,26.0,25.0,21.0,30.0,24.0,28.0,30.0,26.0,28.0
33,25.0,26.0,23.0,19.0,33.0,23.0,33.0,31.0,24.0,33.0
34,26.0,27.0,28.0,19.0,29.0,21.0,29.0,28.0,27.0,30.0
35,26.0,27.0,22.0,19.0,32.0,23.0,30.0,30.0,26.0,30.0
36,26.0,26.0,28.0,20.0,28.0,21.0,29.0,28.0,27.0,28.0
37,27.0,25.0,26.0,17.0,34.0,22.0,29.0,30.0,29.0,28.0
38,29.0,26.0,28.0,21.0,27.0,26.0,30.0,27.0,23.0,29.0
39,28.0,24.0,28.0,22.0,38.0,20.0,28.0,31.0,31.0,29.0
40,29.0,25.0,27.0,20.0,32.0,26.0,29.0,32.0,26.0,26.0
41,26.0,27.0,28.0,23.0,36.0,25.0,32.0,29.0,27.0,34.0
42,28.0,25.0,27.0,19.0,33.0,20.0,31.0,32.0,27.0,31.0
43,27.0,28.0,25.0,21.0,32.0,27.0,31.0,29.0,28.0,28.0
44,30.0,27.0,28.0,19.0,35.0,26.0,32.0,29.0,27.0,29.0
45,28.0,28.0,29.0,19.0,36.0,25.0,31.0,30.0,29.0,32.0
46,29.0,27.0,29.0,19.0,36.0,25.0,33.0,29.0,25.0,31.0
47,30.0,30.0,27.0,21.0,32.0,23.0,29.0,31.0,30.0,28.0
48,29.0,27.0,27.0,20.0,34.0,29.0,36.0,29.0,29.0,29.0
49,30.0,27.0,27.0,21.0,36.0,23.0,34.0,32.0,30.0,31.0
50,30.0,28.0,29.0,21.0,38.0,28.0,33.0,30.0,32.0,31.0
51,29.0,28.0,30.0,22.0,35.0,20.0,29.0,29.0,27.0,31.0
52,30.0,30.0,25.0,20.0,39.0,28.0,31.0,29.0,32.0,28.0
53,31.0,30.0,27.0,23.0,30.0,27.0,29.0,31.0,29.0,29.0
54,32.0,32.0,30.0,22.0,40.0,30.0,36.0,31.0,33.0,33.0
55,31.0,28.0,30.0,24.0,34.0,27.0,27.0,31.0,30.0,32.0
56,33.0,30.0,29.0,21.0,35.0,30.0,34.0,29.0,30.0,29.0
57,30.0,27.0,30.0,25.0,32.0,28.0,27.0,34.0,31.0,36.0
58,33.0,30.0,31.0,26.0,36.0,32.0,33.0,31.0,31.0,33.0
59,35.0,29.0,29.0,22.0,32.0,31.0,34.0,32.0,32.0,35.0
60,32.0,32.0,30.0,23.0,36.0,27.0,33.0,32.0,31.0,30.0
61,35.0,29.0,31.0,26.0,38.0,32.0,30.0,33.0,35.0,34.0
62,31.0,31.0,29.0,23.0,37.0,26.0,36.0,33.0,32.0,37.0
63,31.0,28.0,29.0,24.0,37.0,30.0,30.0,32.0,31.0,36.0
64,32.0,30.0,31.0,24.0,41.0,31.0,33.0,34.0,31.0,35.0
65,32.0,26.0,28.0,22.0,37.0,34.0,35.0,33.0,35.0,34.0
66,31.0,27.0,31.0,28.0,41.0,33.0,34.0,35.0,32.0,30.0
67,37.0,33.0,28.0,21.0,34.0,28.0,34.0,32.0,33.0,36.0
68,29.0,27.0,32.0,25.0,39.0,35.0,31.0,31.0,38.0,35.0
69,36.0,29.0,30.0,24.0,37.0,32.0,34.0,30.0,32.0,35.0
70,29.0,30.0,31.0,22.0,34.0,35.0,34.0,33.0,35.0,35.0
71,35.0,34.0,30.0,30.0,38.0,35.0,38.0,31.0,34.0,36.0
72,30.0,29.0,34.0,22.0,36.0,32.0,33.0,32.0,33.0,38.0
73,35.0,31.0,28.0,23.0,38.0,33.0,34.0,30.0,36.0,32.0
74,33.0,31.0,34.0,27.0,37.0,29.0,36.0,31.0,36.0,38.0
75,34.0,29.0,28.0,25.0,37.0,38.0,36.0,33.0,38.0,36.0
76,35.0,32.0,34.0,26.0,35.0,34.0,30.0,34.0,33.0,34.0
77,33.0,29.0,30.0,25.0,37.0,34.0,35.0,33.0,33.0,33.0
78,36.0,29.0,35.0,28.0,32.0,31.0,36.0,32.0,29.0,36.0
