,0,1,2,3,4,5,6,7,8,9
0,67.0,67.0,67.0,67.0,66.0,66.0,66.0,66.0,66.0,66.0
1,67.0,67.0,70.0,68.0,66.0,66.0,66.0,68.0,68.0,66.0
2,70.0,67.0,73.0,73.0,69.0,77.0,76.0,71.0,74.0,66.0
3,74.0,75.0,72.0,76.0,74.0,82.0,81.0,78.0,75.0,65.0
4,76.0,80.0,75.0,78.0,78.0,81.0,83.0,78.0,79.0,73.0
5,77.0,80.0,76.0,80.0,76.0,80.0,81.0,82.0,80.0,76.0
6,78.0,79.0,76.0,80.0,81.0,86.0,81.0,81.0,78.0,78.0
7,77.0,79.0,77.0,80.0,86.0,88.0,82.0,79.0,81.0,78.0
8,77.0,84.0,78.0,83.0,85.0,88.0,84.0,80.0,81.0,77.0
9,78.0,86.0,78.0,84.0,84.0,87.0,84.0,80.0,81.0,77.0
10,77.0,88.0,81.0,82.0,85.0,89.0,85.0,79.0,82.0,77.0
11,76.0,86.0,82.0,83.0,87.0,87.0,84.0,81.0,81.0,77.0
12,77.0,85.0,83.0,85.0,87.0,87.0,84.0,81.0,80.0,79.0
13,77.0,87.0,86.0,83.0,87.0,87.0,84.0,82.0,80.0,83.0
14,77.0,89.0,84.0,84.0,88.0,87.0,86.0,84.0,79.0,80.0
15,79.0,88.0,85.0,89.0,88.0,88.0,84.0,83.0,80.0,81.0
16,79.0,89.0,85.0,84.0,89.0,88.0,85.0,84.0,81.0,82.0
17,80.0,88.0,85.0,85.0,88.0,88.0,85.0,85.0,80.0,82.0
18,81.0,89.0,85.0,87.0,89.0,88.0,85.0,85.0,83.0,81.0
19,80.0,88.0,85.0,86.0,89.0,88.0,86.0,86.0,81.0,82.0
20,80.0,87.0,84.0,86.0,89.0,88.0,86.0,84.0,81.0,84.0
21,81.0,88.0,83.0,86.0,88.0,88.0,86.0,86.0,82.0,81.0
22,82.0,87.0,84.0,85.0,88.0,89.0,85.0,87.0,84.0,82.0
23,83.0,89.0,83.0,85.0,89.0,89.0,87.0,86.0,82.0,85.0
24,80.0,87.0,83.0,85.0,88.0,90.0,86.0,86.0,83.0,82.0
25,79.0,88.0,83.0,87.0,89.0,88.0,87.0,86.0,83.0,85.0
26,80.0,88.0,83.0,85.0,88.0,88.0,87.0,86.0,83.0,84.0
27,82.0,89.0,83.0,87.0,87.0,91.0,86.0,86.0,83.0,84.0
28,83.0,89.0,82.0,86.0,89.0,88.0,88.0,86.0,83.0,83.0
29,80.0,89.0,82.0,86.0,88.0,88.0,86.0,86.0,82.0,85.0
30,84.0,89.0,82.0,87.0,88.0,91.0,88.0,86.0,83.0,84.0
31,84.0,90.0,81.0,85.0,89.0,88.0,87.0,86.0,82.0,84.0
32,81.0,90.0,82.0,85.0,88.0,91.0,87.0,85.0,82.0,85.0
33,81.0,90.0,81.0,87.0,89.0,88.0,87.0,86.0,84.0,83.0
34,83.0,90.0,82.0,85.0,89.0,89.0,87.0,85.0,82.0,83.0
35,83.0,89.0,82.0,85.0,87.0,91.0,85.0,86.0,82.0,85.0
36,82.0,90.0,83.0,87.0,88.0,89.0,87.0,86.0,85.0,84.0
37,82.0,89.0,81.0,85.0,88.0,89.0,86.0,85.0,81.0,85.0
38,83.0,91.0,82.0,87.0,88.0,93.0,84.0,85.0,83.0,84.0
39,83.0,91.0,81.0,87.0,86.0,90.0,86.0,85.0,83.0,84.0
40,83.0,90.0,82.0,86.0,86.0,90.0,85.0,85.0,82.0,84.0
41,84.0,91.0,82.0,87.0,86.0,90.0,85.0,86.0,85.0,84.0
42,83.0,92.0,82.0,88.0,86.0,89.0,87.0,85.0,85.0,84.0
43,83.0,89.0,82.0,86.0,87.0,88.0,83.0,85.0,81.0,84.0
44,82.0,91.0,83.0,90.0,87.0,90.0,86.0,85.0,84.0,84.0
45,82.0,90.0,82.0,87.0,87.0,91.0,84.0,85.0,83.0,83.0
46,82.0,91.0,83.0,88.0,86.0,91.0,85.0,85.0,85.0,85.0
47,83.0,92.0,82.0,87.0,85.0,89.0,85.0,85.0,84.0,82.0
48,82.0,89.0,82.0,87.0,85.0,91.0,84.0,85.0,82.0,85.0
49,82.0,91.0,83.0,90.0,86.0,92.0,87.0,84.0,82.0,83.0
50,84.0,90.0,82.0,87.0,85.0,89.0,84.0,85.0,85.0,86.0
51,82.0,91.0,83.0,90.0,85.0,91.0,87.0,84.0,82.0,83.0
52,84.0,90.0,79.0,88.0,85.0,90.0,84.0,85.0,84.0,83.0
53,82.0,88.0,83.0,88.0,84.0,91.0,84.0,84.0,83.0,85.0
54,84.0,87.0,82.0,90.0,85.0,89.0,84.0,85.0,83.0,86.0
55,82.0,87.0,84.0,86.0,85.0,90.0,85.0,84.0,82.0,83.0
56,82.0,89.0,82.0,90.0,83.0,90.0,87.0,85.0,82.0,84.0
57,82.0,89.0,82.0,88.0,85.0,89.0,85.0,85.0,84.0,81.0
58,83.0,87.0,83.0,87.0,85.0,91.0,85.0,85.0,82.0,84.0
59,82.0,89.0,82.0,89.0,82.0,90.0,84.0,84.0,84.0,85.0
60,82.0,87.0,81.0,88.0,83.0,92.0,85.0,86.0,78.0,82.0
61,82.0,89.0,81.0,88.0,84.0,90.0,85.0,85.0,82.0,85.0
62,83.0,87.0,83.0,88.0,84.0,91.0,84.0,85.0,82.0,82.0
63,82.0,89.0,82.0,88.0,84.0,89.0,84.0,84.0,82.0,86.0
64,83.0,88.0,81.0,88.0,84.0,92.0,84.0,84.0,82.0,82.0
65,81.0,87.0,80.0,87.0,86.0,89.0,86.0,84.0,78.0,86.0
66,85.0,87.0,80.0,87.0,85.0,91.0,85.0,85.0,82.0,83.0
67,83.0,86.0,82.0,88.0,86.0,89.0,84.0,84.0,82.0,82.0
68,82.0,87.0,78.0,87.0,86.0,90.0,86.0,82.0,82.0,84.0
69,82.0,85.0,83.0,89.0,86.0,93.0,83.0,86.0,83.0,82.0
70,84.0,87.0,80.0,89.0,85.0,89.0,84.0,79.0,83.0,85.0
71,80.0,86.0,81.0,89.0,87.0,90.0,85.0,85.0,83.0,84.0
72,84.0,86.0,80.0,87.0,87.0,89.0,83.0,81.0,82.0,86.0
73,82.0,86.0,81.0,87.0,87.0,91.0,86.0,83.0,82.0,84.0
74,81.0,86.0,79.0,87.0,86.0,89.0,83.0,78.0,81.0,83.0
75,81.0,87.0,81.0,87.0,87.0,91.0,84.0,85.0,81.0,83.0
76,83.0,87.0,78.0,87.0,87.0,89.0,86.0,80.0,80.0,86.0
77,82.0,85.0,81.0,87.0,86.0,91.0,83.0,85.0,81.0,82.0
78,82.0,85.0,79.0,87.0,85.0,89.0,85.0,77.0,82.0,85.0
79,83.0,85.0,81.0,89.0,87.0,90.0,84.0,83.0,81.0,81.0
80,82.0,85.0,80.0,88.0,86.0,90.0,84.0,73.0,81.0,85.0
81,81.0,85.0,80.0,87.0,86.0,90.0,84.0,85.0,82.0,82.0
82,83.0,86.0,81.0,87.0,87.0,89.0,84.0,75.0,82.0,85.0
83,83.0,86.0,80.0,88.0,87.0,91.0,86.0,83.0,81.0,82.0
84,82.0,85.0,81.0,87.0,87.0,89.0,83.0,79.0,81.0,85.0
85,83.0,84.0,80.0,87.0,86.0,89.0,84.0,83.0,81.0,83.0
86,82.0,85.0,79.0,89.0,83.0,89.0,83.0,77.0,81.0,86.0
87,83.0,85.0,80.0,87.0,83.0,90.0,86.0,83.0,80.0,86.0
88,82.0,84.0,80.0,86.0,84.0,89.0,85.0,79.0,82.0,81.0
89,84.0,85.0,79.0,84.0,82.0,90.0,85.0,82.0,80.0,85.0
